,date,date.1,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple watch,airpods
560,2018-02-15,2018-02-15,169.79,173.09,169.0,172.99,167.7309,50609595.0,0.0,1.0,28.05,30.4,24.64,6.9300000000000015
559,2018-02-16,2018-02-16,172.36,174.82,171.77,172.43,167.1879,39638793.0,0.0,1.0,27.72,30.4,24.64,6.0900000000000025
558,2018-02-20,2018-02-20,172.05,174.26,171.42,171.85,166.6255,33531012.0,0.0,1.0,27.06,31.6,21.39,6.23
557,2018-02-21,2018-02-21,172.83,174.12,171.01,171.07,165.8692,35833514.0,0.0,1.0,27.72,30.8,23.56,6.23
556,2018-02-22,2018-02-22,171.8,173.95,171.71,172.5,167.2557,30504116.0,0.0,1.0,27.72,32.0,21.7,6.790000000000001
555,2018-02-23,2018-02-23,173.67,175.65,173.54,175.5,170.1645,33329232.0,0.0,1.0,27.39,33.2,23.25,6.370000000000001
554,2018-02-26,2018-02-26,176.35,179.39,176.21,178.97,173.5291,36886432.0,0.0,1.0,28.38000000000001,32.800000000000004,23.1,6.0900000000000025
553,2018-02-27,2018-02-27,179.1,180.48,178.16,178.39,172.9667,38685165.0,0.0,1.0,28.71,32.4,22.2,6.5100000000000025
552,2018-02-28,2018-02-28,179.26,180.615,178.05,178.12,172.7049,33604574.0,0.0,1.0,28.38000000000001,32.0,21.9,6.44
551,2018-03-01,2018-03-01,178.54,179.775,172.66,175.0,169.6797,48801970.0,0.0,1.0,26.73,31.6,24.3,5.53
550,2018-03-02,2018-03-02,172.8,176.3,172.45,176.21,170.85299999999995,38453950.0,0.0,1.0,26.4,32.4,25.2,5.880000000000001
549,2018-03-05,2018-03-05,175.21,177.74,174.52,176.82,171.4444,28401366.0,0.0,1.0,25.28,31.6,23.8,4.74
548,2018-03-06,2018-03-06,177.91,178.25,176.13,176.67,171.299,23788506.0,0.0,1.0,25.92,32.0,22.4,4.5
547,2018-03-07,2018-03-07,174.94,175.85,174.27,175.03,169.7088,31703462.0,0.0,1.0,25.28,31.20000000000001,22.4,4.38
546,2018-03-08,2018-03-08,175.48,177.12,175.07,176.94,171.5608,23163767.0,0.0,1.0,25.6,32.4,21.000000000000004,4.8
545,2018-03-09,2018-03-09,177.96,180.0,177.39,179.98,174.5083,31385134.0,0.0,1.0,25.92,32.0,21.56,5.88
544,2018-03-12,2018-03-12,180.29,182.39,180.21,181.72,176.1954,32055405.0,0.0,1.0,25.11,32.4,21.33,4.62
543,2018-03-13,2018-03-13,182.59,183.5,179.24,179.97,174.4987,31168404.0,0.0,1.0,25.42,31.20000000000001,20.790000000000006,4.98
542,2018-03-14,2018-03-14,180.32,180.52,177.81,178.44,173.0152,29075469.0,0.0,1.0,24.8,31.6,18.630000000000006,4.38
541,2018-03-15,2018-03-15,178.5,180.24,178.0701,178.65,173.2188,22584565.0,0.0,1.0,24.18,31.6,19.71,4.62
540,2018-03-16,2018-03-16,178.65,179.12,177.62,178.02,172.6079,36836456.0,0.0,1.0,25.11,33.2,20.520000000000003,4.26
539,2018-03-19,2018-03-19,177.32,177.47,173.66,175.3,169.9706,32804695.0,0.0,1.0,25.73,34.0,20.02,5.58
538,2018-03-20,2018-03-20,175.24,176.8,174.94,175.24,169.9124,19314039.0,0.0,1.0,24.18,32.0,18.98,5.04
537,2018-03-21,2018-03-21,175.04,175.09,171.26,171.27,166.0631,35247358.0,0.0,1.0,24.49,33.2,19.76,4.62
536,2018-03-22,2018-03-22,170.0,172.68,168.6,168.85,163.7167,41051076.0,0.0,1.0,24.8,32.800000000000004,19.76,5.4
535,2018-03-23,2018-03-23,168.39,169.92,164.94,164.94,159.9256,40248954.0,0.0,1.0,24.8,32.4,18.98,4.859999999999999
534,2018-03-26,2018-03-26,168.07,173.1,166.44,172.77,167.5175,36272617.0,0.0,1.0,28.9,32.39,22.96,5.670000000000001
533,2018-03-27,2018-03-27,173.68,175.15,166.92,168.34,163.2222,38962839.0,0.0,1.0,34.0,35.26,22.12,6.370000000000001
532,2018-03-28,2018-03-28,167.25,170.02,165.19,166.48,161.4188,41668545.0,0.0,1.0,29.92,33.62,20.44,6.23
531,2018-03-29,2018-03-29,167.805,171.75,166.9,167.78,162.6792,38398505.0,0.0,1.0,28.22,33.62,21.28,6.16
530,2018-04-02,2018-04-02,167.88,168.94,164.47,166.68,161.6127,37586791.0,0.0,1.0,30.08,34.71,20.28,5.53
529,2018-04-03,2018-04-03,167.64,168.7455,164.88,168.39,163.2707,30278046.0,0.0,1.0,29.76,32.76,20.8,6.0900000000000025
528,2018-04-04,2018-04-04,164.88,172.01,164.77,171.61,166.3928,34605489.0,0.0,1.0,28.8,33.15,21.32,5.53
527,2018-04-05,2018-04-05,172.58,174.2304,172.08,172.8,167.5466,26933197.0,0.0,1.0,28.48,31.98,20.02,5.11
526,2018-04-06,2018-04-06,170.97,172.48,168.2,168.38,163.261,35005290.0,0.0,1.0,27.52,32.370000000000005,18.2,5.74
525,2018-04-09,2018-04-09,169.88,173.09,169.845,170.05,164.8802,29017718.0,0.0,1.0,29.76,33.93,25.65,7.000000000000001
524,2018-04-10,2018-04-10,173.0,174.0,171.53,173.25,167.9829,28614241.0,0.0,1.0,29.12,32.370000000000005,21.33,6.370000000000001
523,2018-04-11,2018-04-11,172.23,173.9232,171.7,172.44,167.1976,22431640.0,0.0,1.0,29.44,32.370000000000005,20.790000000000006,6.5100000000000025
522,2018-04-12,2018-04-12,173.41,175.0,173.04,174.14,168.8459,22889285.0,0.0,1.0,28.48,31.20000000000001,19.98,5.8100000000000005
521,2018-04-13,2018-04-13,174.78,175.84,173.85,174.73,169.418,25124255.0,0.0,1.0,28.16,32.370000000000005,21.06,6.0900000000000025
520,2018-04-16,2018-04-16,175.0301,176.19,174.8301,175.82,170.4748,21578420.0,0.0,1.0,26.4,32.3,20.520000000000003,5.880000000000001
519,2018-04-17,2018-04-17,176.49,178.9365,176.41,178.24,172.8212,26605442.0,0.0,1.0,26.1,31.16,19.71,5.53
518,2018-04-18,2018-04-18,177.81,178.82,176.88,177.84,172.4334,20754538.0,0.0,1.0,26.1,31.54,20.520000000000003,6.370000000000001
517,2018-04-19,2018-04-19,174.95,175.39,172.66,172.8,167.5466,34808800.0,0.0,1.0,26.7,32.3,20.790000000000006,6.16
516,2018-04-20,2018-04-20,170.595,171.2184,165.43,165.72,160.6819,65491140.0,0.0,1.0,27.6,30.78,19.71,5.880000000000001
515,2018-04-23,2018-04-23,166.8348,166.92,164.09,165.24,160.2165,36515477.0,0.0,1.0,27.59,31.45,22.12,5.8100000000000005
514,2018-04-24,2018-04-24,165.67,166.33,161.2201,162.94,157.9864,33692017.0,0.0,1.0,28.21,29.97,23.24,6.23
