,Unnamed: 0,date,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple_watch,airpods,wei_dyn_corr,dynamic_corr,apple_gen_trend,wei_apple_trend,weighted_apple_trend,diff_wei_trend
101,101,2018-05-30,187.72,188.0,186.78,187.5,182.5034,18690547.0,0.0,1.0,27.52,33.6,18.29,5.8100000000000005,0.283828656595167,0.398602973586234,85.22,24.6795,26.4155,0.17999999999999972
102,102,2018-05-31,187.22,188.23,186.14,186.87,181.8902,27482793.0,0.0,1.0,26.88,34.0,18.29,6.0200000000000005,0.497773883234105,0.5220755151499221,85.19,23.1945,26.09525,-1.4849999999999994
103,103,2018-06-01,187.9912,190.26,187.75,190.24,185.1704,23442510.0,0.0,1.0,24.64,33.2,23.25,5.040000000000001,0.514512460663712,0.587421252209539,86.13,19.475,24.77775,-3.7195
104,104,2018-06-04,191.635,193.42,191.35,191.83,186.7181,26266174.0,0.0,1.0,35.0,35.66999999999999,31.15,7.6,0.196014031701548,0.649623321863975,109.42,20.097,32.79024999999999,0.6219999999999999
105,105,2018-06-05,193.065,193.94,192.36,193.31,188.1586,21565963.0,0.0,1.0,31.15,35.26,30.45,6.4,0.5959714433025091,0.713504145724853,103.26,32.373000000000005,30.06325,12.276000000000003
106,106,2018-06-06,193.63,194.08,191.92,193.98,188.8108,20933619.0,0.0,1.0,29.4,35.66999999999999,28.7,7.68,0.5307542610197089,0.7638241208154829,101.45,29.50875,28.972499999999997,-2.8642500000000055
107,107,2018-06-07,194.14,194.2,192.335,193.46,188.3046,21347180.0,0.0,1.0,28.35,35.26,29.05,7.6,0.507565325377663,0.79240606485592,100.26,26.22825,28.228250000000003,-3.2805
108,108,2018-06-08,191.17,192.0,189.77,191.7,186.5915,26656799.0,0.0,1.0,27.3,34.85,27.3,6.88,0.51202089496375,0.8149260014220799,96.33,23.76825,27.2785,-2.460000000000001
109,109,2018-06-11,191.35,191.97,190.21,191.23,186.13400000000001,18308460.0,0.0,1.0,27.20000000000001,35.66999999999999,27.88000000000001,5.76,0.5130391561879339,0.818450248802688,96.51,25.11375,27.337000000000003,1.3455000000000013
110,110,2018-06-12,191.385,192.611,191.15,192.28,187.1561,16911141.0,0.0,1.0,26.520000000000003,35.66999999999999,28.56,7.76,0.565164056389985,0.8350936219369879,98.51,23.96025,27.096,-1.153500000000001
