,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr
570,2019-04-10,2881.3701,2889.71,2879.1299,2888.21,2888.21,3062380000.0,0.0,1.0,36.45,39.6,39.42,9.49,-0.6329498659812939
571,2019-04-11,2891.9199,2893.4199,2881.99,2888.3201,2888.3201,2938540000.0,0.0,1.0,36.0,37.2,39.96,9.1,-0.6285824783636639
572,2019-04-12,2900.8601,2910.54,2898.3701,2907.4099,2907.4099,3688490000.0,0.0,1.0,32.4,38.40000000000001,46.44000000000001,8.84,-0.665576296735732
573,2019-04-15,2908.3201,2909.6001,2896.48,2905.5801,2905.5801,3088330000.0,0.0,1.0,33.21,38.8,42.90000000000001,13.92,-0.6936822806626719
574,2019-04-16,2912.26,2916.0601,2900.71,2907.0601,2907.0601,3402210000.0,0.0,1.0,35.66999999999999,38.0,41.8,12.48,-0.11922932137396303
575,2019-04-17,2916.04,2918.0,2895.45,2900.45,2900.45,3602300000.0,0.0,1.0,33.21,38.0,40.7,11.36,-0.0189645183829427
576,2019-04-18,2904.8101,2908.3999,2891.8999,2905.03,2905.03,3506850000.0,0.0,1.0,31.16,38.0,42.90000000000001,16.0,-0.19744711467103002
577,2019-04-22,2898.78,2909.51,2896.3501,2907.97,2907.97,2997950000.0,0.0,1.0,34.2,38.8,42.66,11.4,0.45698453244723103
578,2019-04-23,2909.99,2936.3101,2908.53,2933.6799,2933.6799,3635030000.0,0.0,1.0,41.4,39.6,41.58000000000001,12.0,0.12972802728581098
579,2019-04-24,2934.0,2936.8301,2926.05,2927.25,2927.25,3448960000.0,0.0,1.0,44.55,37.6,39.96,11.7,0.0110271781941973
580,2019-04-25,2928.99,2933.1001,2912.8401,2926.1699,2926.1699,3425280000.0,0.0,1.0,45.0,38.0,42.66,11.7,-0.113012115413086
581,2019-04-26,2925.8101,2939.8799,2917.5601,2939.8799,2939.8799,3248500000.0,0.0,1.0,34.2,36.8,44.82,12.45,-0.17260967715309697
582,2019-04-29,2940.5801,2949.52,2939.3501,2943.03,2943.03,3118780000.0,0.0,1.0,45.6,42.14,38.88,8.84,-0.0175608249814894
583,2019-04-30,2937.1399,2948.22,2924.1101,2945.8301,2945.8301,3919330000.0,0.0,1.0,47.52,41.71,40.5,9.49,-0.532356352615633
584,2019-05-01,2952.3301,2954.1299,2923.3601,2923.73,2923.73,3645850000.0,0.0,1.0,48.0,31.82,36.18,9.1,-0.5845732588070389
585,2019-05-02,2922.1599,2931.6799,2900.5,2917.52,2917.52,3778890000.0,0.0,1.0,41.28,33.11,36.18,8.97,-0.635410955631203
586,2019-05-03,2929.21,2947.8501,2929.21,2945.6399,2945.6399,3338120000.0,0.0,1.0,36.0,43.0,38.34,8.58,-0.6600869691434561
587,2019-05-06,2908.8899,2937.3201,2898.21,2932.47,2932.47,3181520000.0,0.0,1.0,42.3,31.92,38.5,10.8,-0.701855428676669
588,2019-05-07,2913.03,2913.03,2862.6001,2884.05,2884.05,3767100000.0,0.0,1.0,43.24,32.34,35.75,10.65,-0.54913167144871
589,2019-05-08,2879.6101,2897.96,2873.28,2879.4199,2879.4199,3485790000.0,0.0,1.0,39.01,31.08,37.40000000000001,15.0,-0.5191168758146011
590,2019-05-09,2859.8401,2875.97,2836.3999,2870.72,2870.72,3638820000.0,0.0,1.0,43.24,30.24,37.95,13.2,0.21532490721309402
591,2019-05-10,2863.1001,2891.3101,2825.3899,2881.3999,2881.3999,3529600000.0,0.0,1.0,39.95,28.98,41.25,12.3,0.22328193193717102
592,2019-05-13,2840.1899,2840.1899,2801.4299,2811.8701,2811.8701,3894030000.0,0.0,1.0,34.76,31.98,41.04,8.97,0.10755162528169
593,2019-05-14,2820.1201,2852.54,2820.1201,2834.4099,2834.4099,3322720000.0,0.0,1.0,38.28,30.75,36.48,9.62,-0.319598986980256
594,2019-05-15,2820.3799,2858.6799,2815.0801,2850.96,2850.96,3125950000.0,0.0,1.0,33.44,30.75,38.76,9.23,-0.48735163541195603
595,2019-05-16,2855.8,2892.1499,2855.8,2876.3201,2876.3201,3338060000.0,0.0,1.0,34.76,30.34,37.05,9.75,-0.6212555913004051
596,2019-05-17,2858.6001,2885.48,2854.23,2859.53,2859.53,3257950000.0,0.0,1.0,34.76,29.93,39.33,9.49,-0.6223668337002879
597,2019-05-20,2841.9399,2853.8601,2831.29,2840.23,2840.23,3288870000.0,0.0,1.0,33.6,29.93,36.3,10.8,-0.636515128506291
598,2019-05-21,2854.02,2868.8799,2854.02,2864.3601,2864.3601,3218700000.0,0.0,1.0,31.6,31.57,36.3,10.5,-0.5326817566788039
599,2019-05-22,2856.0601,2865.47,2851.1101,2856.27,2856.27,3192510000.0,0.0,1.0,32.0,31.57,34.65000000000001,12.6,-0.54818455671039
600,2019-05-23,2836.7,2836.7,2805.49,2822.24,2822.24,3891980000.0,0.0,1.0,30.0,30.34,36.3,13.05,-0.192250326380912
601,2019-05-24,2832.4099,2841.3601,2820.1899,2826.0601,2826.0601,2887390000.0,0.0,1.0,22.8,31.16,38.5,12.75,0.0381410341563633
602,2019-05-28,2830.03,2840.51,2801.5801,2802.3899,2802.3899,4121410000.0,0.0,1.0,24.48,33.11,34.56,10.65,0.117283376283754
603,2019-05-29,2790.25,2792.03,2766.0601,2783.02,2783.02,3700050000.0,0.0,1.0,28.08,32.68,35.1,11.7,-0.24446006579783602
604,2019-05-30,2786.9399,2799.0,2776.74,2788.8601,2788.8601,3273790000.0,0.0,1.0,28.44,32.25,36.72,13.95,-0.228607206750707
605,2019-05-31,2766.1499,2768.98,2750.52,2752.0601,2752.0601,3981020000.0,0.0,1.0,19.8,31.82,37.26000000000001,13.05,0.256847006318256
606,2019-06-03,2751.53,2763.0701,2728.8101,2744.45,2744.45,3943810000.0,0.0,1.0,23.76,19.35,44.0,16.15,0.174704968450866
607,2019-06-04,2762.6399,2804.49,2762.6399,2803.27,2803.27,3810430000.0,0.0,1.0,22.32,20.25,42.35,19.0,0.31979519945872303
608,2019-06-05,2818.0901,2827.28,2800.9199,2826.1499,2826.1499,3548830000.0,0.0,1.0,21.6,20.25,44.0,16.15,0.739201816158864
609,2019-06-06,2828.51,2852.1001,2822.45,2843.49,2843.49,3396410000.0,0.0,1.0,21.96,20.25,41.8,13.49,0.6501850645245539
610,2019-06-07,2852.8701,2884.97,2852.8701,2873.3401,2873.3401,3220250000.0,0.0,1.0,21.24,18.9,44.0,11.97,0.491868427199015
611,2019-06-10,2885.8301,2904.77,2885.51,2886.73,2886.73,3209210000.0,0.0,1.0,27.200000000000006,21.93,42.66,7.1400000000000015,0.19573373465628602
612,2019-06-11,2903.27,2910.6101,2878.53,2885.72,2885.72,3548420000.0,0.0,1.0,26.8,32.64,38.88,7.98,-0.525533997534552
613,2019-06-12,2882.73,2888.5701,2874.6799,2879.8401,2879.8401,3034130000.0,0.0,1.0,27.200000000000006,26.52,42.66,8.260000000000002,-0.600501591136255
614,2019-06-13,2886.24,2895.24,2881.99,2891.6399,2891.6399,3069810000.0,0.0,1.0,33.2,23.97,41.58000000000001,8.680000000000001,-0.648885113541868
