date,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon
2018-05-09,2018-05-09,300.41,307.01,300.05,306.85,306.85,5727365.0,0.0,1.0,13.44,12.4,12.8
2018-05-10,2018-05-10,307.4997,312.99,304.1119,305.02,305.02,5651561.0,0.0,1.0,15.33,8.4,8.8
2018-05-11,2018-05-11,307.7,308.88,299.08,301.06,301.06,4679649.0,0.0,1.0,15.54,7.2,7.2
2018-05-14,2018-05-14,303.32,304.94,291.62,291.97,291.97,7286804.0,0.0,1.0,14.2,1.76,2.0
2018-05-15,2018-05-15,285.01,286.96,280.5,284.18,284.18,9519173.0,0.0,1.0,13.2,1.52,1.68
2018-05-16,2018-05-16,283.83,288.81,281.56,286.48,286.48,5674019.0,0.0,1.0,12.2,1.12,1.36
2018-05-17,2018-05-17,285.9,289.1873,283.97,284.54,284.54,4420612.0,0.0,1.0,12.2,1.2,1.36
2018-05-18,2018-05-18,284.65,284.65,274.0,276.82,276.82,7251887.0,0.0,1.0,12.2,1.36,1.52
2018-05-21,2018-05-21,281.33,291.49,281.3,284.49,284.49,9182571.0,0.0,1.0,14.8,1.04,1.28
2018-05-22,2018-05-22,287.762,288.0,273.422,275.01,275.01,8945756.0,0.0,1.0,13.8,1.36,1.36
2018-05-23,2018-05-23,277.76,279.9099,274.0,279.07,279.07,5985053.0,0.0,1.0,11.8,1.36,1.52
2018-05-24,2018-05-24,278.4,281.11,274.89,277.85,277.85,4176708.0,0.0,1.0,12.4,2.16,2.0
2018-05-25,2018-05-25,277.6252,279.64,275.61,278.85,278.85,3875082.0,0.0,1.0,13.0,1.68,2.0
2018-05-29,2018-05-29,278.51,286.5,276.15,283.76,283.76,5666640.0,0.0,1.0,9.54,1.33,1.2600000000000002
2018-05-30,2018-05-30,283.29,295.005,281.6,291.72,291.72,7489686.0,0.0,1.0,10.8,1.05,1.1900000000000002
2018-05-31,2018-05-31,287.21,290.37,282.93,284.73,284.73,5919721.0,0.0,1.0,10.8,1.05,1.12
2018-06-01,2018-06-01,285.86,291.95,283.839,291.82,291.82,5424386.0,0.0,1.0,13.14,3.640000000000001,4.83
2018-06-04,2018-06-04,294.34,299.0,293.548,296.74,296.74,4797810.0,0.0,1.0,12.42,3.3,3.9
2018-06-05,2018-06-05,297.7,297.8,286.74,291.13,291.13,5995157.0,0.0,1.0,13.68,3.48,4.32
2018-06-06,2018-06-06,300.5,322.17,297.48,319.5,319.5,18767269.0,0.0,1.0,15.84,4.74,5.1
2018-06-07,2018-06-07,316.15,330.0,313.58,316.09,316.09,14345271.0,0.0,1.0,14.76,3.12,4.5
2018-06-08,2018-06-08,319.0,324.48,317.15,317.66,317.66,8205202.0,0.0,1.0,14.22,3.18,3.78
2018-06-11,2018-06-11,322.51,334.66,322.5,332.1,332.1,13183473.0,0.0,1.0,14.44,4.48,6.8
2018-06-12,2018-06-12,344.7,354.97,338.0,342.77,342.77,22347403.0,0.0,1.0,17.1,5.53,7.44
2018-06-13,2018-06-13,346.70599999999996,347.2,339.8,344.78,344.78,9469804.0,0.0,1.0,17.29,4.2,6.5600000000000005
2018-06-14,2018-06-14,347.63,358.75,346.6,357.72,357.72,10981023.0,0.0,1.0,14.82,5.95,7.28
2018-06-15,2018-06-15,353.84,364.67,351.25,358.17,358.17,10848254.0,0.0,1.0,14.25,5.250000000000001,7.44
2018-06-18,2018-06-18,355.4,373.73,354.5,370.83,370.83,12073226.0,0.0,1.0,17.67,4.02,5.11
2018-06-19,2018-06-19,365.16,370.0,346.25,352.55,352.55,12761903.0,0.0,1.0,17.29,4.32,6.790000000000001
2018-06-20,2018-06-20,358.04,364.38,352.0,362.22,362.22,8383656.0,0.0,1.0,14.44,3.9,4.9700000000000015
2018-06-21,2018-06-21,362.0,366.2139,346.27,347.51,347.51,7967145.0,0.0,1.0,15.01,3.3,4.62
2018-06-22,2018-06-22,351.54,352.25,332.0,333.63,333.63,10266059.0,0.0,1.0,14.82,3.66,4.48
2018-06-25,2018-06-25,330.12,338.47,327.5,333.01,333.01,6931304.0,0.0,1.0,15.2,2.0500000000000003,2.88
2018-06-26,2018-06-26,336.05400000000003,343.55,325.79900000000004,342.0,342.0,7452487.0,0.0,1.0,15.4,2.2,3.66
2018-06-27,2018-06-27,345.0,350.79,339.5,344.5,344.5,8333727.0,0.0,1.0,16.0,2.5500000000000003,4.02
2018-06-28,2018-06-28,348.66,357.02,346.11,349.93,349.93,8398005.0,0.0,1.0,19.0,3.35,5.04
2018-06-29,2018-06-29,353.33,353.86,342.41,342.95,342.95,6492396.0,0.0,1.0,20.0,3.75,5.2799999999999985
2018-07-02,2018-07-02,360.07,364.78,329.85,335.07,335.07,18759765.0,0.0,1.0,21.0,1.28,1.44
2018-07-03,2018-07-03,331.75,332.49,309.69,310.86,310.86,12282638.0,0.0,1.0,17.43,1.12,1.12
2018-07-05,2018-07-05,313.76,314.39,296.22,309.16,309.16,17476374.0,0.0,1.0,16.59,0.8,1.2
2018-07-06,2018-07-06,304.9545,312.07,302.0,308.9,308.9,8865451.0,0.0,1.0,16.169999999999998,3.2,3.28
2018-07-09,2018-07-09,311.99,318.52,308.0,318.51,318.51,7596753.0,0.0,1.0,17.009999999999998,14.63,12.78
2018-07-10,2018-07-10,324.56,327.6771,319.2,322.47,322.47,9471498.0,0.0,1.0,17.64,13.11,13.86
2018-07-11,2018-07-11,315.8,321.94,315.07,318.96,318.96,4884076.0,0.0,1.0,17.43,7.98,7.92
2018-07-12,2018-07-12,321.43,323.23,312.77,316.71,316.71,5721166.0,0.0,1.0,17.009999999999998,8.93,9.18
2018-07-13,2018-07-13,315.58,319.5849,309.25,318.87,318.87,5875770.0,0.0,1.0,17.009999999999998,6.08,5.58
