,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon,dynamic_corr,tesla_gen_trend
430,2019-09-19,246.0,247.94,244.84,246.6,246.6,4883135.0,0.0,1.0,17.48,2.85,3.96,-0.5258061881409221,21.44
431,2019-09-20,246.49,246.946,238.16,240.62,240.62,6506264.0,0.0,1.0,17.25,3.1,4.2,-0.5659567523325589,21.45
432,2019-09-23,240.0,245.1794,239.22,241.23,241.23,4391630.0,0.0,1.0,19.25,2.75,3.96,-0.612016073053525,23.21
433,2019-09-24,241.52,241.99,222.61,223.21,223.21,12941112.0,0.0,1.0,20.25,2.85,4.2,-0.663017276186615,24.45
434,2019-09-25,224.56,228.98,218.36,228.7,228.7,9444286.0,0.0,1.0,20.0,3.0500000000000003,3.84,-0.7323635451853799,23.84
435,2019-09-26,230.66,243.31,227.4,242.56,242.56,12078785.0,0.0,1.0,21.25,2.6500000000000004,4.32,-0.751467197337062,25.57
436,2019-09-27,242.2,248.71,238.73,242.13,242.13,11123179.0,0.0,1.0,22.75,2.6,3.6,-0.7588293562301139,26.35
437,2019-09-30,243.0,243.98,236.1111,240.87,240.87,5946161.0,0.0,1.0,21.32,5.64,6.9300000000000015,-0.7868129943080721,28.25
438,2019-10-01,241.5,245.95,239.13,244.69,244.69,6196290.0,0.0,1.0,17.16,1.86,2.45,-0.7971875102816941,19.61
439,2019-10-02,243.29,244.65,239.43,243.13,243.13,6256548.0,0.0,1.0,18.72,1.86,2.5200000000000005,-0.701414973834504,21.24
440,2019-10-03,231.86,234.48,224.28,233.03,233.03,15137763.0,0.0,1.0,17.68,1.68,2.24,-0.6522428923906801,19.92
441,2019-10-04,231.61,234.78,228.07,231.43,231.43,8021180.0,0.0,1.0,17.68,1.38,2.03,-0.536788219276794,19.71
442,2019-10-07,229.8,238.56,228.55,237.72,237.72,8086957.0,0.0,1.0,14.4,1.3,1.68,-0.4253080488814821,16.080000000000002
443,2019-10-08,235.87,243.94,234.5,240.05,240.05,8702338.0,0.0,1.0,14.88,1.25,1.92,-0.125208879361373,16.8
444,2019-10-09,241.32,247.295,240.65,244.53,244.53,6935033.0,0.0,1.0,15.12,1.3,1.68,0.0440812773435673,16.8
445,2019-10-10,245.28,249.28,241.58,244.74,244.74,6313417.0,0.0,1.0,15.36,1.15,1.7999999999999998,0.182443440030732,17.16
446,2019-10-11,247.15,251.08,246.81,247.89,247.89,8488159.0,0.0,1.0,14.88,1.15,1.68,0.297794839989086,16.560000000000002
447,2019-10-14,247.9,258.55,247.13,256.96,256.96,10226863.0,0.0,1.0,16.32,8.0,9.0,0.39715432510016097,25.32
448,2019-10-15,257.7,260.0,254.12,257.89,257.89,6479456.0,0.0,1.0,14.88,3.6,4.32,-0.0638488583290221,19.200000000000006
449,2019-10-16,257.39,262.1,256.92,259.75,259.75,6704303.0,0.0,1.0,14.88,2.56,2.88,-0.0749191643814102,17.76
450,2019-10-17,262.5,264.78,260.17,261.97,261.97,4779043.0,0.0,1.0,15.6,2.24,3.06,-0.0127881597484077,18.66
451,2019-10-18,260.7,262.8,255.1,256.95,256.95,5720888.0,0.0,1.0,14.88,2.16,2.07,0.0263069546528081,16.95
452,2019-10-21,258.33,259.5,250.18,253.5,253.5,5020339.0,0.0,1.0,17.689999999999994,1.05,1.25,0.158641168107587,18.939999999999994
453,2019-10-22,254.32,258.33,250.85,255.58,255.58,4625095.0,0.0,1.0,17.689999999999994,1.35,1.4500000000000002,0.22083819433090304,19.139999999999993
454,2019-10-23,254.5,256.14,251.35,254.68,254.68,11216182.0,0.0,1.0,23.2,1.25,1.3,0.25933293588046397,24.5
455,2019-10-24,298.37,304.93,289.2,299.68,299.68,29819231.0,0.0,1.0,29.0,1.35,1.5,0.000408111204561917,30.5
456,2019-10-25,297.72,330.0,296.11,328.13,328.13,30006091.0,0.0,1.0,24.36,1.15,1.4,-0.071929327009142,25.76
457,2019-10-28,327.54,340.84,322.6,327.71,327.71,18737839.0,0.0,1.0,19.76,1.89,2.48,0.0623705402338844,22.24
458,2019-10-29,319.99,324.3,314.75,316.22,316.22,12684267.0,0.0,1.0,17.68,2.24,2.72,0.113612412790301,20.4
459,2019-10-30,313.0,318.79,309.97,315.01,315.01,9641810.0,0.0,1.0,16.64,4.69,5.44,0.11229187666383099,22.08
460,2019-10-31,313.1,319.0,313.0,314.92,314.92,5066956.0,0.0,1.0,14.56,3.2900000000000005,3.76,0.16779870409286998,18.32
461,2019-11-01,316.32,316.48,309.8,313.31,313.31,6383929.0,0.0,1.0,1.56,1.2600000000000002,2.0,0.14038990666128198,3.56
462,2019-11-04,314.8,321.94,309.26,317.47,317.47,8787040.0,0.0,1.0,1.68,0.8500000000000001,1.38,-0.007792676890376641,3.06
463,2019-11-05,319.62,323.51,316.118,317.22,317.22,6943417.0,0.0,1.0,1.44,0.8,1.2,-0.136824968775652,2.64
464,2019-11-06,318.0,326.72,314.5,326.58,326.58,7940932.0,0.0,1.0,1.68,1.0,1.26,-0.222627036976448,2.94
465,2019-11-07,329.14,341.5,328.02,335.54,335.54,14467348.0,0.0,1.0,1.68,0.7000000000000001,1.2,-0.38866883858829,2.88
466,2019-11-08,334.5,337.46,332.5,337.14,337.14,6074221.0,0.0,1.0,1.68,0.75,1.3199999999999998,-0.5054144379088971,3.0
467,2019-11-11,343.95,349.19,342.0,345.09,345.09,9993689.0,0.0,1.0,1.75,0.75,1.33,-0.576731297767725,3.08
468,2019-11-12,346.9,350.37,344.04,349.93,349.93,7359383.0,0.0,1.0,1.75,0.8,1.54,-0.645355788965136,3.29
469,2019-11-13,355.0,356.33,345.18,346.11,346.11,8467863.0,0.0,1.0,1.75,1.0,1.4700000000000002,-0.6959246421950379,3.22
470,2019-11-14,346.11,353.84,342.91,349.35,349.35,6471703.0,0.0,1.0,2.0,0.9,1.4700000000000002,-0.728223900768833,3.47
471,2019-11-15,350.64,352.8,348.36,352.17,352.17,4812563.0,0.0,1.0,1.75,0.7000000000000001,1.33,-0.7637410013151521,3.08
472,2019-11-18,352.9165,353.15,346.1,349.99,349.99,4408505.0,0.0,1.0,8.0,2.04,2.66,-0.7937020984530991,10.66
473,2019-11-19,351.75,359.99,347.8,359.52,359.52,7736078.0,0.0,1.0,8.0,1.7999999999999998,2.5200000000000005,-0.783927923508468,10.52
474,2019-11-20,360.0,361.2,349.57,352.22,352.22,6733965.0,0.0,1.0,8.0,2.16,3.08,-0.802058802510592,11.08
475,2019-11-21,354.51,360.84,354.0039,354.83,354.83,6110013.0,0.0,1.0,13.0,2.76,7.000000000000001,-0.807480007993878,20.0
476,2019-11-22,340.16,341.0,330.0,333.04,333.04,16870642.0,0.0,1.0,100.0,11.52,13.72,-0.33414985683118,113.72
477,2019-11-25,344.32,344.57,334.46,336.34,336.34,12345765.0,0.0,1.0,30.6,11.2,11.68,0.35111331765762,42.28
478,2019-11-26,335.27,335.5,327.1,328.92,328.92,7956239.0,0.0,1.0,24.3,8.48,9.44,0.26420146836111397,33.74
479,2019-11-27,331.12,333.93,328.57,331.29,331.29,5563459.0,0.0,1.0,20.7,7.04,8.32,0.23793188446973604,29.02
480,2019-11-29,331.11,331.26,327.5,329.94,329.94,2465629.0,0.0,1.0,15.3,5.6000000000000005,5.6000000000000005,0.21403939650153891,20.9
481,2019-12-02,329.4,336.3827,328.6869999999999,334.87,334.87,6081986.0,0.0,1.0,30.26,6.21,7.9,0.15308075519084,38.16
482,2019-12-03,332.62,337.91,332.186,336.2,336.2,6613476.0,0.0,1.0,29.58,6.66,8.0,0.41742925529060704,37.58
483,2019-12-04,337.75,337.86,332.85,333.03,333.03,5536255.0,0.0,1.0,28.22,6.66,8.0,0.5360508146859699,36.22
484,2019-12-05,332.83,334.4227,327.25,330.37,330.37,3736976.0,0.0,1.0,26.86000000000001,7.649999999999999,8.8,0.5585951893996789,35.66000000000001
485,2019-12-06,335.0,338.86,334.77,335.89,335.89,7618937.0,0.0,1.0,25.840000000000003,8.82,10.0,0.580292164285943,35.84
486,2019-12-09,336.59,344.45,335.08,339.53,339.53,9040217.0,0.0,1.0,20.160000000000004,5.28,6.569999999999999,0.668261616698544,26.730000000000004
487,2019-12-10,339.96,350.73,339.31,348.84,348.84,8839951.0,0.0,1.0,19.32,5.68,7.02,0.530123595623615,26.34
488,2019-12-11,351.8765,357.1899,351.09,352.7,352.7,6919162.0,0.0,1.0,18.76,6.16,6.75,0.502789018457563,25.51
489,2019-12-12,354.92,362.74,353.23,359.68,359.68,7776211.0,0.0,1.0,19.6,4.64,6.21,0.500781333561048,25.81
490,2019-12-13,361.05,365.21,354.64,358.39,358.39,6574281.0,0.0,1.0,19.6,5.76,7.02,0.498199311652359,26.62
491,2019-12-16,362.55,383.61,362.5,381.5,381.5,18220940.0,0.0,1.0,19.72,2.88,2.88,0.545404301595517,22.6
492,2019-12-17,378.99,385.5,375.9,378.99,378.99,8503775.0,0.0,1.0,19.14,2.88,3.42,0.335764544487414,22.56
493,2019-12-18,380.63,395.22,380.58,393.15,393.15,14136392.0,0.0,1.0,20.01,3.0,3.42,0.277766037111588,23.43
494,2019-12-19,397.32,406.85,396.5,404.04,404.04,18120307.0,0.0,1.0,21.75,2.46,2.46,0.355338843718779,24.21
495,2019-12-20,410.29,413.0,400.185,405.59,405.59,14785206.0,0.0,1.0,20.59,2.94,3.42,0.419077784551198,24.01
496,2019-12-23,411.78,422.01,410.0,419.22,419.22,13332821.0,0.0,1.0,33.25,4.02,4.2,0.45936190199218696,37.45
