,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0.1,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply,wei_dyn_corr,wei_dollar_eur_gen_trend,diff_wei_trend,absdiiff
510,2019-12-06,0.9003,0.9055,0.8997,0.9037,1069.0,21.06,21.6,46.55,2.2,68.8,26.04000000000001,19.5,90.16,30.36000000000001,11.0,20.02,13.86,56.94,78.11999999999998,25.38000000000001,40.48,-0.208021448111491,29.6195,0.6574999999999989,0.006574999999999989
511,2019-12-09,0.9041,0.9044,0.9024,0.9034,1072.0,95.0,20.47,39.36,3.56,60.8,27.0,21.0,83.7,35.7,15.5,22.31,15.12,62.56,77.08,26.27,36.49,-0.27057552913435,50.57,20.9505,0.20950500000000002
512,2019-12-10,0.9035,0.9037,0.9007,0.9013,1073.0,91.0,21.39,39.36,2.68,70.4,24.57,19.8,86.49000000000002,39.95,0.0,21.85,14.94,57.8,80.36,13.32,38.95,0.385955048724809,46.721000000000004,-3.849000000000004,0.038490000000000045
513,2019-12-11,0.9013,0.903,0.897,0.8979,1074.0,100.0,23.0,42.24,2.44,75.2,23.22,21.0,87.42,39.95,0.0,23.0,16.02,59.84,81.17999999999998,12.95,38.54,0.4309985116567179,50.417,3.6960000000000046,0.03696000000000005
514,2019-12-12,0.898,0.9003,0.8927,0.8938,1075.0,71.0,21.16,39.84,2.28,71.2,25.11000000000001,21.3,88.35000000000002,38.25,31.0,22.77,16.2,57.8,79.53999999999998,0.0,36.49,0.49444173772831795,36.76,-13.657000000000005,0.13657000000000005
515,2019-12-13,0.8942,0.8997,0.8932,0.8994,1076.0,50.0,19.78,45.12,2.12,77.60000000000002,23.49,20.4,73.47,85.0,0.0,21.16,12.24,51.68000000000001,74.61999999999998,13.32,34.85,0.389279824346465,34.946,-1.814,0.01814
516,2019-12-16,0.8983,0.8988,0.8961,0.8974,1079.0,16.2,17.849999999999994,42.72,3.6,63.91,19.2,23.1,66.36,34.56,0.0,18.2,14.56,51.66,71.10000000000002,18.55,35.88,0.3010964180251789,24.307,-10.639000000000001,0.10639000000000001
517,2019-12-17,0.8975,0.8982,0.8947,0.8959999999999999,1080.0,17.1,18.69,43.68,2.76,66.22,19.68,22.44,67.15,31.68,6.63,18.0,10.4,53.55,73.47,18.55,35.1,-0.160309095508961,25.108,0.8010000000000019,0.008010000000000019
518,2019-12-18,0.8964,0.8997,0.8961,0.8994,1081.0,16.650000000000002,18.06,40.32,2.44,70.84,18.96,23.1,61.62000000000001,36.0,6.63,17.6,10.72,51.66,72.68,19.08,32.370000000000005,-0.30513571965594105,25.237,0.12899999999999778,0.0012899999999999778
519,2019-12-19,0.8993,0.9,0.8971,0.8987,1082.0,13.95,16.8,36.96,2.32,63.14,17.04,24.42,58.46,34.56,6.76,17.6,8.64,45.99,72.68,19.61,31.20000000000001,-0.426186307547974,23.27,-1.9669999999999987,0.019669999999999986
520,2019-12-20,0.8987,0.9034,0.8985,0.9027,1083.0,12.15,15.96,42.72,2.24,60.06,17.04,25.74,54.51000000000001,33.84,0.0,13.8,9.12,40.32,67.15,0.0,31.20000000000001,-0.481794681589886,16.575,-6.695,0.06695000000000001
521,2019-12-23,0.9023,0.9031,0.9009,0.9013,1086.0,6.3,11.39,36.55,3.88,39.06,23.14,31.08,40.3,25.01,0.0,9.12,3.7,34.1,54.6,16.8,22.08,-0.602711283589944,16.0805,-0.4944999999999986,0.004944999999999986
522,2019-12-24,0.9015,0.9031,0.8999,0.9025,1087.0,5.7,9.52,27.52,2.0,32.86,21.06,31.08,34.45,23.79,0.0,10.56,5.0,26.4,48.3,17.64,17.28,-0.5769670150805319,14.52,-1.5605000000000009,0.01560500000000001
523,2019-12-25,0.9017,0.9046,0.8992,0.9014,1088.0,5.4,7.1400000000000015,16.77,1.0,33.48,22.88000000000001,28.49,29.9,22.57,0.0,11.84,3.4000000000000004,20.9,51.1,0.0,14.72,-0.582691707829132,7.9485,-6.5715,0.06571500000000001
524,2019-12-26,0.9013,0.9021,0.8999,0.9013,1089.0,6.9,11.05,32.68,2.36,41.54,21.06,31.45,39.65,25.01,0.0,10.24,4.800000000000002,40.15000000000001,60.2,23.1,23.36,-0.589305742061771,18.102999999999998,10.154500000000002,0.10154500000000002
525,2019-12-27,0.9008,0.9008,0.8933,0.8944,1090.0,6.0,11.9,43.0,2.24,45.88,23.4,32.56,39.65,25.62,0.0,10.24,2.8000000000000003,45.65000000000001,60.9,16.38,26.88,-0.518496226925536,17.022000000000002,-1.0809999999999995,0.010809999999999995
526,2019-12-30,0.8945,0.8945,0.8908,0.8925,1093.0,6.72,16.59,47.32,5.0,40.92,21.58,45.6,46.23,29.24,0.0,24.8,4.62,70.5,65.45,10.260000000000002,32.76,-0.47325696888542895,16.529,-0.4930000000000021,0.004930000000000021
527,2019-12-31,0.8924,0.8926,0.8893,0.8912,1094.0,6.72,14.91,43.16,3.2,48.18,21.84,43.68,42.21,27.88000000000001,15.68,24.4,5.17,54.75,63.14,21.6,28.86,-0.49565999158040003,19.945,3.4160000000000004,0.03416
528,2020-01-01,0.8916,0.892,0.8887,0.8915,1095.0,7.04,10.71,27.56,1.55,29.04000000000001,20.54,28.8,36.18,53.040000000000006,0.0,7.2,7.15,41.25,55.44,0.0,22.62,-0.4828417041568029,9.607000000000001,-10.338,0.10337999999999999
529,2020-01-02,0.8915,0.8955,0.8906,0.8949,1096.0,9.28,17.009999999999998,51.48,3.45,55.44000000000001,22.1,30.72,48.24,59.84,0.0,6.8000000000000025,8.58,70.5,69.3,11.34,35.1,-0.580150746694049,19.407,9.8,0.098
