date,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply
2017-10-23,2017-10-23,0.8499,0.8525,0.8489,0.8508,295.0,30.1,24.18,44.64,3.92,76.5,29.75,34.2,85.44,42.9,26.46,22.75,2.34,49.88,75.2,10.56,44.62000000000001
2017-10-24,2017-10-24,0.8508,0.8513,0.8478,0.8496,296.0,31.39,25.22,48.0,3.3200000000000003,83.7,30.8,34.2,89.0,44.22,43.74,22.75,2.99,55.1,79.2,32.01,44.62000000000001
2017-10-25,2017-10-25,0.8497,0.8506,0.8459,0.8461,297.0,30.1,24.7,47.52,2.92,90.0,30.45,33.82,80.99,44.88,26.46,22.5,2.6,52.2,79.2,0.0,43.24
2017-10-26,2017-10-26,0.8461,0.8587,0.8447,0.8585,298.0,43.0,24.18,45.12,2.8000000000000003,86.4,30.1,34.96,80.1,42.9,54.0,22.25,3.12,46.98,76.80000000000003,10.56,44.16
2017-10-27,2017-10-27,0.8584,0.8637,0.8584,0.8611,299.0,36.98,21.58,44.16,2.52,74.7,30.1,36.48,78.32000000000002,40.26000000000001,0.0,21.25,2.73,41.18,72.0,11.22,37.72
2017-10-30,2017-10-30,0.8622,0.8622,0.8574,0.8587,302.0,28.8,23.14,43.2,4.0,70.52,30.8,32.4,77.42999999999998,39.06,10.56,21.0,3.9,49.88,74.10000000000002,32.9,42.78
2017-10-31,2017-10-31,0.8586,0.86,0.8574,0.8581,303.0,28.8,22.88000000000001,43.68,3.2,75.67999999999998,35.0,36.0,73.08,40.32,11.22,22.0,3.3,44.08,70.98,35.0,45.54
2017-11-01,2017-11-01,0.8581,0.8613,0.8576,0.8604,304.0,17.6,23.4,45.6,2.8000000000000003,78.26,28.7,28.8,75.69,59.85,0.0,12.5,11.1,51.04,70.2,60.9,37.72
2017-11-02,2017-11-02,0.8604,0.8605,0.8556,0.8576,305.0,16.8,24.18,44.16,2.52,79.98,28.7,30.0,77.42999999999998,57.96,9.68,13.25,7.9499999999999975,56.84,70.2,43.4,37.72
2017-11-03,2017-11-03,0.8576,0.8618,0.8555,0.861,306.0,14.4,22.36,45.12,2.56,74.82,29.75,32.800000000000004,74.82,54.81,0.0,13.0,10.95,48.13999999999999,69.42,59.49999999999999,33.58
2017-11-06,2017-11-06,0.8607,0.8632,0.8604,0.861,309.0,14.44,23.92,45.12,3.84,77.43,24.64,33.2,77.44,61.74,29.48,14.31,9.3,57.95,73.71000000000002,26.0,38.18
2017-11-07,2017-11-07,0.861,0.865,0.8605,0.8624,310.0,17.1,24.44,45.12,2.96,81.88,26.24,29.6,80.08,61.11,29.48,14.31,11.85,60.39,75.33,26.0,39.1
2017-11-08,2017-11-08,0.8623,0.8633,0.861,0.8622,311.0,15.96,24.7,45.59,2.64,78.32000000000002,25.28,27.20000000000001,80.08,61.74,30.15,14.04,12.6,60.39,77.76,26.65,36.34
2017-11-09,2017-11-09,0.8623,0.8629,0.8578,0.8585,312.0,16.72,24.96,44.18,2.48,87.22,24.96,29.6,82.72,59.22,40.2,14.580000000000002,9.15,57.34,75.33,27.3,35.42
2017-11-10,2017-11-10,0.8586,0.8601,0.8561,0.8569,313.0,13.3,21.32,42.77,2.12,76.54,23.36,31.6,66.0,50.4,32.160000000000004,13.23,8.1,47.58,70.47,28.6,32.2
2017-11-13,2017-11-13,0.8576,0.8590000000000001,0.8563,0.857,316.0,17.94,24.840000000000003,45.12,3.88,79.2,26.95,30.8,88.32,57.96,21.12,14.04,9.35,60.0,79.53999999999998,22.96,38.07
2017-11-14,2017-11-14,0.857,0.8573,0.8469,0.8474,317.0,17.55,27.0,48.0,3.08,84.60000000000002,29.05,29.20000000000001,89.28,56.07,42.72,13.52,14.28,57.6,82.0,22.96,41.36
2017-11-15,2017-11-15,0.8474,0.8494,0.8428,0.8494,318.0,17.16,27.0,47.04,2.84,90.0,30.8,29.20000000000001,89.28,61.74,21.6,13.78,13.43,58.2,78.72,22.96,43.71
2017-11-16,2017-11-16,0.8494,0.8501,0.8472,0.8493,319.0,17.16,25.38000000000001,46.56,2.72,89.10000000000002,29.4,28.8,88.32,63.0,32.16,13.52,13.94,52.2,76.25999999999998,22.96,39.01
2017-11-17,2017-11-17,0.8493,0.8498,0.8457,0.8479,320.0,14.82,22.41,42.72,2.48,77.4,32.2,28.8,83.52,58.59,33.6,13.26,13.77,48.6,72.16,23.520000000000003,35.72
2017-11-20,2017-11-20,0.8496,0.8528,0.8468,0.8519,323.0,13.02,16.400000000000002,34.32,4.0,60.48,29.37,25.53,68.53,51.3,13.95,10.58,17.64,34.76,61.92,18.9,28.5
