"","0.3 * crisis_trend + 0.3 * job_trend + 0.05 * loan_trend + 0.1 * "
"817",40.6455
"818",41.8295
"819",41.9465
"820",36.3665
"821",34.249
"822",49.8685
"823",42.294
"824",32.013
"825",45.453
"826",30.675
"827",33.048
"828",22.98
"829",23.478
"830",27.4995
"831",26.1415
"832",27.1405
"833",23.7425
"834",38.53
"835",39.3425
"836",46.457
"837",37.0935
"838",34.33
"839",40.514
"840",43.942
"841",38.063
"842",44.649
"843",37.423
"844",38.6
"845",38.039
"846",42.145
"847",42.56
"848",42.23
"849",38.9205
"850",36.731
"851",38.7875
"852",35.5025
"853",39.5585
"854",38.53
"855",35.256
"856",34.328
"857",30.599
"858",32.969
"859",32.595
"860",37.0425
"861",32.807
"862",33.3905
"863",32.9485
"864",33.26
"865",34.309
"866",35.838
"867",33.7115
"868",36.083
"869",29.052
"870",32.566
"871",29.011
"872",37.632
"873",35.11
"874",29.869
"875",36.87
"876",27.064
"877",29.835
"878",28.602
"879",29.339
"880",29.638
"881",32.0035
"882",29.323
"883",30.703
"884",28.5825
"885",34.983
"886",33.19
"887",33.9225
"888",31.029
"889",41.9065
"890",42.981
"891",37.0975
"892",40.406
"893",34.948
