date,hiring,work,usajob,apply
2017-08-28,51.2,70.68,13.44,37.8
2017-08-29,51.84,72.2,39.9,38.64
2017-08-30,53.76,76.0,13.44,39.9
2017-08-31,48.0,72.96000000000001,26.88,39.48
2017-09-01,49.92,63.08,0.0,33.18
2017-09-02,37.76,56.24,0.0,26.04
2017-09-03,35.339999999999996,55.5,23.2,26.459999999999997
2017-09-04,41.61,60.68,0.0,29.82
2017-09-05,54.15,65.86,0.0,37.379999999999995
2017-09-06,51.87,66.6,0.0,37.379999999999995
2017-09-07,49.019999999999996,66.6,19.139999999999997,34.44
2017-09-08,40.47,61.42,19.139999999999997,31.5
2017-09-09,34.769999999999996,51.8,22.04,26.88
2017-09-10,35.38,57.72,18.62,25.76
2017-09-11,51.24,70.2,16.169999999999998,39.1
2017-09-12,54.9,73.32000000000001,47.53,42.78
2017-09-13,59.17,74.88,31.849999999999998,42.78
2017-09-14,54.9,74.88,16.169999999999998,43.7
2017-09-15,49.41,72.54,16.66,40.480000000000004
2017-09-16,41.48,60.84,38.71,31.740000000000002
2017-09-17,39.69,64.0,0.0,31.28
2017-09-18,61.11,75.2,27.06,44.620000000000005
2017-09-19,63.0,79.2,0.0,46.0
2017-09-20,58.59,77.60000000000001,13.53,41.86
2017-09-21,57.33,77.60000000000001,0.0,43.24
2017-09-22,48.51,72.8,0.0,38.64
2017-09-23,40.95,63.2,16.4,31.740000000000002
2017-09-24,38.43,63.18000000000001,0.0,31.28
2017-09-25,62.37,76.14,0.0,44.620000000000005
2017-09-26,59.22,81.0,23.43,44.160000000000004
2017-09-27,57.96,79.38000000000001,0.0,40.940000000000005
2017-09-28,55.44,77.76,71.0,42.32
2017-09-29,47.25,72.09,24.14,37.72
2017-09-30,39.06,62.370000000000005,0.0,31.740000000000002
2017-10-01,42.089999999999996,62.410000000000004,0.0,35.72
2017-10-02,54.9,70.31,0.0,42.769999999999996
2017-10-03,55.51,75.05,10.56,44.18
2017-10-04,53.68,75.05,10.56,44.18
2017-10-05,52.46,75.05,21.45,43.71
2017-10-06,44.53,69.52000000000001,33.0,38.07
2017-10-07,40.26,59.25,0.0,33.37
2017-10-08,42.16,62.400000000000006,42.74999999999999,33.58
2017-10-09,55.8,73.32000000000001,18.24,40.940000000000005
2017-10-10,57.66,74.10000000000001,18.24,44.160000000000004
2017-10-11,57.04,74.88,18.81,46.0
2017-10-12,54.56,73.32000000000001,0.0,43.7
2017-10-13,45.88,67.86,18.81,38.18
2017-10-14,40.3,60.84,0.0,33.120000000000005
2017-10-15,45.44,65.61,0.0,31.5
2017-10-16,62.72,78.57000000000001,21.12,44.1
2017-10-17,64.0,81.0,21.78,43.65
2017-10-18,60.160000000000004,79.38000000000001,0.0,40.5
2017-10-19,58.24,78.57000000000001,21.78,40.050000000000004
2017-10-20,48.0,72.9,44.88,35.550000000000004
2017-10-21,39.04,61.56,26.400000000000002,29.7
2017-10-22,37.699999999999996,63.2,0.0,31.740000000000002
2017-10-23,49.879999999999995,75.2,10.56,44.620000000000005
2017-10-24,55.099999999999994,79.2,32.01,44.620000000000005
2017-10-25,52.199999999999996,79.2,0.0,43.24
2017-10-26,46.98,76.80000000000001,10.56,44.160000000000004
2017-10-27,41.18,72.0,11.22,37.72
2017-10-28,32.48,59.2,0.0,32.2
2017-10-29,35.96,61.620000000000005,0.0,33.58
2017-10-30,49.879999999999995,74.10000000000001,32.9,42.78
2017-10-31,44.08,70.98,35.0,45.54
2017-11-01,51.04,70.2,60.9,37.72
2017-11-02,56.839999999999996,70.2,43.4,37.72
2017-11-03,48.13999999999999,69.42,59.49999999999999,33.58
2017-11-04,38.86,56.160000000000004,34.3,27.14
2017-11-05,42.699999999999996,62.370000000000005,0.0,30.360000000000003
2017-11-06,57.949999999999996,73.71000000000001,26.0,38.18
2017-11-07,60.39,75.33,26.0,39.1
2017-11-08,60.39,77.76,26.650000000000002,36.34
2017-11-09,57.339999999999996,75.33,27.3,35.42
2017-11-10,47.58,70.47,28.6,32.2
2017-11-11,39.65,63.18000000000001,65.0,28.060000000000002
2017-11-12,40.8,65.6,0.0,29.139999999999997
2017-11-13,60.0,79.53999999999999,22.96,38.07
2017-11-14,57.599999999999994,82.0,22.96,41.36
2017-11-15,58.199999999999996,78.72,22.96,43.71
2017-11-16,52.199999999999996,76.25999999999999,22.96,39.01
2017-11-17,48.6,72.16,23.520000000000003,35.72
2017-11-18,39.6,61.49999999999999,0.0,27.259999999999998
2017-11-19,26.84,54.72,14.7,20.9
2017-11-20,34.76,61.919999999999995,18.9,28.5
2017-11-21,33.0,63.36,12.9,28.5
2017-11-22,29.04,57.599999999999994,13.5,25.84
2017-11-23,16.72,48.96,15.0,17.48
2017-11-24,24.64,53.28,14.399999999999999,18.62
2017-11-25,27.72,56.16,14.399999999999999,22.42
2017-11-26,43.07,68.0,0.0,27.93
2017-11-27,56.05,79.05,21.450000000000003,39.69
2017-11-28,59.0,84.14999999999999,33.0,45.08
2017-11-29,54.87,85.0,22.0,45.57
2017-11-30,53.69,82.45,30.250000000000004,49.0
2017-12-01,50.15,80.75,55.00000000000001,46.55
2017-12-02,43.07,69.7,20.900000000000002,36.75
2017-12-03,41.440000000000005,67.22999999999999,11.4,30.24
2017-12-04,53.2,79.67999999999999,0.0,42.0
2017-12-05,54.32000000000001,81.33999999999999,9.299999999999999,38.22
2017-12-06,56.00000000000001,83.0,9.6,41.58
2017-12-07,50.96000000000001,81.33999999999999,18.9,38.64
2017-12-08,42.56,75.53,14.7,33.18
2017-12-09,39.2,68.06,17.7,31.08
2017-12-10,37.1,68.88,0.0,31.82
2017-12-11,48.760000000000005,78.72,0.0,37.839999999999996
2017-12-12,50.35,81.17999999999999,26.23,39.13
2017-12-13,47.7,80.36,29.28,38.269999999999996
2017-12-14,44.52,77.08,20.13,37.41
2017-12-15,40.28,74.61999999999999,20.74,38.7
2017-12-16,33.92,64.78,24.4,31.82
2017-12-17,33.0,57.72,0.0,23.68
2017-12-18,47.0,65.86,19.5,31.08
2017-12-19,44.0,68.82,13.26,32.93
2017-12-20,40.5,65.12,13.65,30.34
2017-12-21,43.5,63.64,28.080000000000002,28.86
2017-12-22,33.5,58.46,14.82,27.009999999999998
2017-12-23,26.0,52.54,15.99,20.35
2017-12-24,21.15,47.449999999999996,18.06,17.34
2017-12-25,19.74,53.29,19.32,15.98
2017-12-26,34.309999999999995,64.24,0.0,23.8
2017-12-27,44.65,67.16,15.54,27.880000000000003
2017-12-28,46.059999999999995,65.7,15.54,29.580000000000002
2017-12-29,37.599999999999994,61.32,23.099999999999998,27.200000000000003
2017-12-30,33.839999999999996,58.4,16.8,23.46
2017-12-31,37.12,58.46,18.33,25.6
2018-01-01,33.28,57.67,0.0,23.200000000000003
2018-01-02,60.160000000000004,75.05,32.9,37.2
2018-01-03,62.72,75.05,21.15,39.6
2018-01-04,62.72,75.05,26.32,37.6
2018-01-05,55.68,72.68,16.45,35.2
2018-01-06,51.2,67.94,0.0,32.4
2018-01-07,49.64,70.55,0.0,30.96
2018-01-08,64.60000000000001,78.02,28.6,39.56
2018-01-09,68.0,80.50999999999999,28.6,41.71
2018-01-10,64.60000000000001,82.17,14.52,42.14
2018-01-11,65.28,83.0,14.52,40.85
2018-01-12,57.120000000000005,78.02,14.52,40.85
2018-01-13,48.28,68.89,17.16,31.39
2018-01-14,46.230000000000004,67.24,50.050000000000004,32.68
