,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel,dynamic_corr,gen_trend,dynamic_corr_gen,diff_gen_trend
193,2018-10-09,77.58,77.61,77.43,77.5632,15.5126,1491.0,0.0,1.0,51.92,52.51,2.01,55.61000000000001,4.38,40.12,0.6852614135725971,46.659000000000006,0.784604405065143,-4.204999999999991
194,2018-10-10,77.44,77.44,75.315,75.38,15.076,3408.0,0.0,1.0,52.51,52.51,2.4,51.59,4.2,40.12,0.511862946523271,46.861,0.6529708171414039,0.20199999999999108
195,2018-10-11,74.5,74.5,73.27,73.3,14.66,2024.0,0.0,1.0,51.33,47.2,1.68,49.58000000000001,4.38,42.48,0.401968502722427,46.5475,0.712068721263106,-0.31349999999999767
196,2018-10-12,74.0412,74.0412,74.0412,74.0412,14.8082,1073.0,0.0,1.0,53.1,48.97,2.04,50.92,3.72,43.66,0.32833040923672496,48.078,0.748956999936971,1.5305000000000035
197,2018-10-15,74.09,74.09,74.06,74.06,14.812,820.0,0.0,1.0,57.0,58.56,1.38,46.08,4.14,41.76,0.537051959482522,49.86300000000001,0.8378930360632841,1.7850000000000037
198,2018-10-16,74.14699999999998,74.78,74.03,74.433,14.8866,20546.0,0.0,1.0,55.8,54.9,1.68,53.76,4.62,38.86,0.4625155346537671,48.75700000000001,0.8662827493559191,-1.1059999999999945
199,2018-10-17,72.5399,72.86,72.301,72.6248,14.525,5374.0,0.0,1.0,54.6,56.12,2.49,51.2,4.14,36.54,0.6337167250378051,47.3095,0.792098363494735,-1.4475000000000122
200,2018-10-18,71.2051,72.27,71.14,71.5263,14.3053,2680.0,0.0,1.0,55.8,53.68,2.28,43.52,4.26,43.5,0.417901986627742,49.435,0.819128832664562,2.1255000000000024
201,2018-10-19,71.5263,71.5263,71.5263,71.5263,14.3053,194.0,0.0,1.0,55.8,46.97,2.52,55.04,3.06,43.5,0.375703451482916,50.023,0.8417616318230121,0.588000000000001
202,2018-10-22,71.8005,71.8699,71.725,71.725,14.345,1470.0,0.0,1.0,54.28,53.68,1.83,60.03,2.7,43.8,0.659636403814721,49.325,0.86719119449193,-0.6980000000000004
203,2018-10-23,70.49,70.49,68.31,69.1487,13.8297,15085.0,0.0,1.0,54.28,56.12,1.56,52.44,2.9000000000000004,42.6,0.7187590650111461,48.63200000000001,0.863100353626075,-0.6929999999999907
204,2018-10-24,69.64,69.7,68.94,68.96,13.792,5488.0,0.0,1.0,50.74,54.29,1.86,51.74999999999999,3.2,42.6,0.6003773094511551,46.3115,0.85080811589325,-2.3205000000000098
205,2018-10-25,69.693,69.9592,69.693,69.8601,13.972,1001.0,0.0,1.0,50.74,53.68,1.95,51.74999999999999,2.3000000000000003,46.8,0.457179638225442,47.36599999999999,0.6296678700001811,1.0544999999999902
206,2018-10-26,69.16,70.15,69.1,70.15,14.03,1874.0,0.0,1.0,53.69,48.8,1.56,48.3,2.2,47.4,0.6410709108803799,49.2415,0.78812609496753,1.8755000000000095
207,2018-10-29,69.72,69.97,69.14,69.14,13.828,6564.0,0.0,1.0,52.44,61.0,0.86,45.14,3.5500000000000003,51.59,0.6572748000424189,49.2835,0.8433705469804481,0.041999999999994486
