,Trump,Donald Trump,President of USA,open_spx,high_spx,low_spx,sp500_h,volume_spx,DateTime,youwilldie
162,2.0,1.0,0.0,0.0,-4.309999999999945,-7.890100000000075,-6.4198999999998705,-5.570099999999911,0 days 01:00:00.000000000,0.0
163,5.0,1.0,0.0,0.0,-5.649899999999889,-5.010000000000218,-1.5100000000002183,3.2199999999998,0 days 01:00:00.000000000,0.0
164,4.0,1.0,0.0,0.0,3.1698999999998705,6.679900000000089,5.639900000000125,5.919900000000325,0 days 01:00:00.000000000,0.0
165,4.0,0.0,0.0,0.0,5.889900000000125,4.210199999999986,2.050000000000182,5.039999999999964,0 days 01:00:00.000000000,0.0
166,4.0,1.0,0.0,0.0,5.060099999999693,2.3999000000003434,7.109899999999925,-0.0500000000001819,0 days 01:00:00.000000000,0.0
167,2.0,1.0,0.0,0.0,-0.07009999999991123,-2.8801000000003114,-2.6498999999998887,-2.079899999999725,0 days 01:00:00.000000000,0.0
168,-18.0,-4.0,0.0,0.0,8.260000000000218,14.960199999999986,11.369899999999689,14.119899999999689,0 days 18:00:00.000000000,0.0
169,1.0,0.0,0.0,0.0,3.7399999999997817,4.069800000000214,5.0,6.61010000000033,0 days 01:00:00.000000000,0.0
170,6.0,1.0,0.0,0.0,6.660100000000057,0.4101999999998043,4.510000000000218,-0.6501000000002932,0 days 01:00:00.000000000,0.0
171,6.0,1.0,0.0,0.0,-0.6601000000000568,0.6298999999999069,1.200199999999768,0.45020000000022264,0 days 01:00:00.000000000,0.0
172,4.0,1.0,0.0,0.0,0.5,-0.6398999999996704,-1.590099999999893,0.2098999999998341,0 days 01:00:00.000000000,0.0
173,4.0,1.0,0.0,0.0,0.15010000000029322,1.9499000000000706,-0.01999999999998181,-1.4198999999998705,0 days 01:00:00.000000000,0.0
174,3.0,1.0,0.0,0.0,-1.390100000000075,-3.4199000000003252,-3.1498999999998887,-3.300000000000182,0 days 01:00:00.000000000,0.0
175,-23.0,-4.0,0.0,0.0,-8.629899999999907,-1.1702000000000226,-7.160200000000259,0.03999999999996362,0 days 18:00:00.000000000,0.0
176,1.0,0.0,0.0,0.0,5.350099999999657,0.2300000000000182,-15.459899999999834,-23.65009999999984,0 days 01:00:00.000000000,0.0
177,5.0,1.0,0.0,0.0,-23.57009999999991,-25.16989999999987,-21.409999999999854,-10.369900000000143,0 days 01:00:00.000000000,0.0
