,Trump,Donald Trump,President of USA,Close,DateTime
281,18.0,5.0,0.0,105.775,2020-01-06 13:00:00
282,18.0,5.0,0.0,107.135,2020-01-06 14:00:00
283,20.0,5.0,0.0,107.46,2020-01-06 15:00:00
284,21.0,5.0,0.0,107.585,2020-01-06 16:00:00
285,22.0,6.0,0.0,107.91,2020-01-06 17:00:00
286,23.0,6.0,0.0,107.84,2020-01-06 18:00:00
287,23.0,6.0,0.0,107.93,2020-01-06 19:00:00
288,24.0,6.0,0.0,108.235,2020-01-06 20:00:00
289,25.0,6.0,0.0,106.35,2020-01-06 21:00:00
290,26.0,7.0,0.0,106.35,2020-01-06 22:00:00
291,29.0,7.0,0.0,105.805,2020-01-06 23:00:00
292,28.0,7.0,0.0,105.805,2020-01-07 00:00:00
293,10.0,3.0,0.0,105.775,2020-01-07 09:00:00
294,10.0,3.0,0.0,105.775,2020-01-07 10:00:00
295,12.0,3.0,0.0,105.775,2020-01-07 11:00:00
296,13.0,4.0,0.0,105.775,2020-01-07 12:00:00
297,14.0,4.0,0.0,106.75,2020-01-07 13:00:00
298,14.0,4.0,0.0,107.21,2020-01-07 14:00:00
299,15.0,4.0,0.0,107.39,2020-01-07 15:00:00
300,16.0,4.0,0.0,107.555,2020-01-07 16:00:00
301,17.0,5.0,0.0,107.265,2020-01-07 17:00:00
302,18.0,5.0,0.0,107.025,2020-01-07 18:00:00
303,19.0,5.0,0.0,106.775,2020-01-07 19:00:00
304,19.0,5.0,0.0,106.42,2020-01-07 20:00:00
305,20.0,5.0,0.0,106.01,2020-01-07 21:00:00
306,21.0,6.0,0.0,106.01,2020-01-07 22:00:00
307,30.0,8.0,0.0,105.775,2020-01-07 23:00:00
308,55.0,14.0,0.0,105.775,2020-01-08 00:00:00
309,18.0,5.0,0.0,105.775,2020-01-08 09:00:00
310,20.0,5.0,0.0,105.775,2020-01-08 10:00:00
311,23.0,6.0,0.0,105.775,2020-01-08 11:00:00
312,28.0,7.0,0.0,105.775,2020-01-08 12:00:00
313,33.0,8.0,0.0,105.045,2020-01-08 13:00:00
314,37.0,8.0,0.0,106.425,2020-01-08 14:00:00
315,47.0,10.0,0.0,105.855,2020-01-08 15:00:00
316,100.0,17.0,0.0,106.065,2020-01-08 16:00:00
317,53.0,11.0,0.0,105.99,2020-01-08 17:00:00
318,39.0,9.0,0.0,105.64,2020-01-08 18:00:00
319,33.0,8.0,0.0,106.045,2020-01-08 19:00:00
320,31.0,8.0,0.0,105.825,2020-01-08 20:00:00
321,31.0,7.0,0.0,104.775,2020-01-08 21:00:00
