,Unnamed: 0,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr,dynamic_corr2
338,338,2018-05-08,2670.26,2676.3401,2655.2,2671.9199,2671.9199,3717570000.0,0.0,1.0,42.75,29.52,37.1,18.0,-0.581360923865363,-0.251432539405044
339,339,2018-05-09,2678.1201,2701.27,2674.1399,2697.79,2697.79,3909500000.0,0.0,1.0,45.0,27.88,37.1,14.94,-0.706554192775464,0.23519464828574
340,340,2018-05-10,2705.02,2726.1101,2704.54,2723.0701,2723.0701,3333050000.0,0.0,1.0,36.45,29.52,39.22,14.76,-0.600449733071449,0.0450042755834119
341,341,2018-05-11,2722.7,2732.8601,2717.45,2727.72,2727.72,2862700000.0,0.0,1.0,31.95,27.88,42.93,14.22,-0.406462834152503,-0.10663651274150901
342,342,2018-05-14,2738.47,2742.1001,2725.47,2730.1299,2730.1299,2972660000.0,0.0,1.0,34.800000000000004,33.58,40.15000000000001,14.28,-0.22977022395423002,-0.285863935608104
343,343,2018-05-15,2718.5901,2718.5901,2701.9099,2711.45,2711.45,3290680000.0,0.0,1.0,28.4,35.42,39.6,14.11,-0.0605746872763887,-0.37573149251893895
344,344,2018-05-16,2712.6201,2727.76,2712.1699,2722.46,2722.46,3202670000.0,0.0,1.0,31.6,35.88,37.40000000000001,12.750000000000002,-0.361028886436639,-0.442948138236072
345,345,2018-05-17,2719.71,2731.96,2711.3601,2720.1299,2720.1299,3475400000.0,0.0,1.0,31.20000000000001,32.660000000000004,40.7,13.43,-0.285762312973497,-0.615372372543741
346,346,2018-05-18,2717.3501,2719.5,2709.1799,2712.97,2712.97,3368690000.0,0.0,1.0,30.8,33.120000000000005,42.90000000000001,14.11,-0.30514356348210697,-0.645340454233021
347,347,2018-05-21,2735.3899,2739.1899,2725.7,2733.01,2733.01,3019890000.0,0.0,1.0,31.59,36.19,38.76,10.4,-0.45964247777123707,-0.590672955258697
