,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel
2019-01-24,2019-01-24,54.5,55.02,54.26,54.8082,10.9616,6226.0,0.0,1.0,51.46,55.8,2.61,27.880000000000006,4.38,30.800000000000004
2019-01-25,2019-01-25,54.98,55.45,54.8,55.17,11.034,13538.0,0.0,1.0,52.08,44.4,1.44,31.28,2.88,36.40000000000001
2019-01-28,2019-01-28,53.62,53.788999999999994,52.9,53.72,10.744000000000002,56893.0,0.0,1.0,54.18,60.48,2.96,36.21,4.0600000000000005,31.35
2019-01-29,2019-01-29,54.54,55.5,54.54,54.94,10.988,16616.0,0.0,1.0,52.92,54.81,2.92,41.18,2.7300000000000004,30.250000000000004
2019-01-30,2019-01-30,55.68,56.55,55.49,55.95,11.19,25179.0,0.0,1.0,53.55,55.44,2.76,39.05,5.3900000000000015,29.700000000000006
2019-01-31,2019-01-31,56.43,56.99,55.3699,55.59,11.118,17943.0,0.0,1.0,54.18,57.96,3.0,41.18,5.74,30.250000000000004
2019-02-01,2019-02-01,56.02,57.36,56.02,57.1,11.42,21382.0,0.0,1.0,52.29,51.66,2.76,61.77,6.0200000000000005,37.95
2019-02-04,2019-02-04,55.96,56.5,55.01,56.39,11.277999999999999,17111.0,0.0,1.0,47.58,58.74,2.79,56.4,3.5,31.860000000000007
2019-02-05,2019-02-05,55.41,56.16,55.2,55.38,11.075999999999999,12536.0,0.0,1.0,50.02,63.36,3.0,49.2,3.6,35.64
2019-02-06,2019-02-06,54.98,55.9,54.67,55.65,11.13,20130.0,0.0,1.0,50.63,66.0,2.16,58.2,4.7,35.1
2019-02-07,2019-02-07,55.21,55.32,53.5,54.25,10.85,19444.0,0.0,1.0,51.24,60.72000000000001,2.67,43.2,3.1,38.88
2019-02-08,2019-02-08,54.42,54.4801,54.1,54.3,10.86,8574.0,0.0,1.0,50.02,53.46,1.7999999999999998,54.0,2.25,36.72
2019-02-11,2019-02-11,53.27,54.05,52.94,53.97,10.794,14149.0,0.0,1.0,46.8,62.040000000000006,2.55,57.95,3.85,39.33
2019-02-12,2019-02-12,55.52,55.59,54.7675,54.7675,10.9535,11505.0,0.0,1.0,48.0,64.02,2.52,52.46,3.1500000000000004,39.33
