date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef
2017-12-27,58.69,58.69,58.52,58.5212,11.7042,640.0,0.0,1.0
2017-12-26,57.84,57.84,57.84,57.84,11.568,300.0,0.0,1.0
2017-12-22,56.87,56.87,56.87,56.87,11.374,183.0,0.0,1.0
2017-12-21,57.2599,57.2599,57.2599,57.2599,11.452,100.0,0.0,1.0
2017-12-20,56.9875,56.9875,56.9875,56.9875,11.3975,105.0,0.0,1.0
2017-12-19,56.63,56.63,56.63,56.63,11.326,0.0,0.0,1.0
2017-12-18,56.44,56.64,56.44,56.63,11.326,401.0,0.0,1.0
2017-12-15,56.2835,56.2835,56.2835,56.2835,11.2567,32.0,0.0,1.0
2017-12-14,56.2835,56.2835,56.2835,56.2835,11.2567,24.0,0.0,1.0
2017-12-13,56.2835,56.2835,56.2835,56.2835,11.2567,0.0,0.0,1.0
2017-12-12,56.3,56.3,56.2835,56.2835,11.2567,789.0,0.0,1.0
2017-12-11,56.58,56.58,56.58,56.58,11.316,282.0,0.0,1.0
2017-12-08,56.53,56.53,56.43,56.43,11.286,753.0,0.0,1.0
2017-12-07,56.68,56.68,56.68,56.68,11.336,0.0,0.0,1.0
2017-12-06,56.68,56.68,56.68,56.68,11.336,8.0,0.0,1.0
2017-12-05,56.68,56.68,56.68,56.68,11.336,20.0,0.0,1.0
2017-12-04,56.55,56.68,56.54,56.68,11.336,1342.0,0.0,1.0
2017-12-01,56.32,56.32,56.32,56.32,11.264,0.0,0.0,1.0
2017-11-30,56.68,56.68,56.2,56.32,11.264,4308.0,0.0,1.0
2017-11-29,57.09,57.09,56.23,56.23,11.246,1820.0,0.0,1.0
2017-11-28,56.64,56.64,56.64,56.64,11.328,27.0,0.0,1.0
2017-11-27,56.64,56.64,56.64,56.64,11.328,0.0,0.0,1.0
2017-11-24,56.64,56.64,56.64,56.64,11.328,0.0,0.0,1.0
2017-11-22,56.5,56.64,56.5,56.64,11.328,1504.0,0.0,1.0
2017-11-21,55.95,55.9999,55.77,55.77,11.154,2772.0,0.0,1.0
2017-11-20,55.7792,55.7792,55.7792,55.7792,11.1558,0.0,0.0,1.0
2017-11-17,55.79,55.8,55.7792,55.7792,11.1558,430.0,0.0,1.0
2017-11-16,56.31,56.31,56.31,56.31,11.262,1.0,0.0,1.0
2017-11-15,56.31,56.31,56.31,56.31,11.262,59.0,0.0,1.0
2017-11-14,56.31,56.31,56.31,56.31,11.262,10.0,0.0,1.0
2017-11-13,56.31,56.31,56.31,56.31,11.262,326.0,0.0,1.0
2017-11-10,56.06,56.06,56.0599,56.0599,11.212,236.0,0.0,1.0
2017-11-09,53.24,53.24,53.24,53.24,10.648,59.0,0.0,1.0
2017-11-08,53.24,53.24,53.24,53.24,10.648,4.0,0.0,1.0
2017-11-07,53.24,53.24,53.24,53.24,10.648,64.0,0.0,1.0
2017-11-06,53.24,53.24,53.24,53.24,10.648,36.0,0.0,1.0
2017-11-03,53.24,53.24,53.24,53.24,10.648,0.0,0.0,1.0
2017-11-02,53.24,53.24,53.24,53.24,10.648,0.0,0.0,1.0
2017-11-01,53.96,53.96,53.24,53.24,10.648,4764.0,0.0,1.0
